rgID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region
UGA_173101_P016_WG08,275-23,TRUE,FALSE,2,2023,HS 109,266420x3604161,RAPiD-Genomics_F534_UGA_173101_P016_WG08_i5-504_i7-176_S14913_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WG09,49-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WG09_i5-504_i7-177_S14914_L003_R1_001.fastq,M,Capture,CGA
UGA_173101_P016_WG10,463-23,TRUE,FALSE,6,2023,HS 044,264092x3597212,RAPiD-Genomics_F534_UGA_173101_P016_WG10_i5-504_i7-178_S14915_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WG11,365-23,TRUE,FALSE,6,2023,HS 042,259530x3597317,RAPiD-Genomics_F534_UGA_173101_P016_WG11_i5-504_i7-179_S14916_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WG12,337-23,TRUE,FALSE,5,2023,HS 065,269178x3589726,RAPiD-Genomics_F534_UGA_173101_P016_WG12_i5-504_i7-180_S14917_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WH01,88-NGA,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WH01_i5-504_i7-181_S14918_L003_R1_001.fastq,F,Capture,NGA
UGA_173101_P016_WH02,78-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WH02_i5-504_i7-182_S14919_L003_R1_001.fastq,M,Den Check,NGA
UGA_173101_P016_WH03,449-23,TRUE,FALSE,6,2023,HS 066,268064x3590555,RAPiD-Genomics_F534_UGA_173101_P016_WH03_i5-504_i7-183_S14920_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WH04,37-24,TRUE,FALSE,4,2024,HS 116,269531x3605091,RAPiD-Genomics_F534_UGA_173101_P016_WH04_i5-504_i7-184_S14921_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WH05,4-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WH05_i5-504_i7-185_S14922_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P016_WH06,312-23,TRUE,FALSE,6,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P016_WH06_i5-504_i7-186_S14923_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WH07,128-23,TRUE,FALSE,5,2023,HS 056,266161x3582880,RAPiD-Genomics_F534_UGA_173101_P016_WH07_i5-504_i7-187_S14924_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WH08,330-23,TRUE,FALSE,6,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P016_WH08_i5-504_i7-188_S14925_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WH09,480-23,TRUE,FALSE,6,2023,HS 009,259209x3585507,RAPiD-Genomics_F534_UGA_173101_P016_WH09_i5-504_i7-189_S14926_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WH10,276-23,TRUE,FALSE,4,2023,HS 101,275317x3599324,RAPiD-Genomics_F534_UGA_173101_P016_WH10_i5-504_i7-190_S14927_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WH11,213-23,TRUE,FALSE,6,2023,HS 066,268064x3590555,RAPiD-Genomics_F534_UGA_173101_P016_WH11_i5-504_i7-191_S14928_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WH12,206-24,TRUE,FALSE,2,2024,HS 083,266526x3596862,RAPiD-Genomics_F534_UGA_173101_P016_WH12_i5-504_i7-192_S14929_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WA01,32-24,TRUE,FALSE,6,2024,HS 123,270896x3606897,RAPiD-Genomics_F534_UGA_173101_P017_WA01_i5-512_i7-97_S14930_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WA02,393-23,TRUE,FALSE,5,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P017_WA02_i5-512_i7-98_S14931_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WA03,23-C,FALSE,TRUE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WA03_i5-512_i7-99_S14932_L003_R1_001.fastq,F,Capture,CGA
