extID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region,nSNPgt,vcfID,FILT
GTseek_024_384i5_045_P098.001_617-23,617-23,TRUE,FALSE,6,2023,HS 066,268064x3590555,NA,NA,Hair Sample,CGA,NA,GTS_617-23,TRUE
GTseek_024_384i5_046_P098.003_949-23,949-23,TRUE,FALSE,6,2023,HS 009,259209x3585507,NA,NA,Hair Sample,CGA,124,GTS_949-23,FALSE
GTseek_024_384i5_047_P098.001_618-23,618-23,TRUE,FALSE,4,2023,HS 010,260875x3584312,NA,NA,Hair Sample,CGA,120,GTS_618-23,FALSE
GTseek_024_384i5_048_P098.003_950-23,950-23,TRUE,FALSE,4,2023,HS 007,255057x3589730,NA,NA,Hair Sample,CGA,NA,GTS_950-23,TRUE
GTseek_024_384i5_049_P098.002_764-23,764-23,TRUE,FALSE,7,2023,HS 073,267763x3594039,NA,NA,Hair Sample,CGA,122,GTS_764-23,FALSE
GTseek_024_384i5_050_P098.004_571-24,571-24,TRUE,FALSE,3,2024,HS 025,265276x3591787,NA,NA,Hair Sample,CGA,116,GTS_571-24,FALSE
GTseek_024_384i5_051_P098.002_767-23,767-23,TRUE,FALSE,7,2023,HS 045,258191x3598537,NA,NA,Hair Sample,CGA,123,GTS_767-23,FALSE
GTseek_024_384i5_052_P098.004_573-24,573-24,TRUE,FALSE,1,2024,HS 029,259736x3594236,NA,NA,Hair Sample,CGA,118,GTS_573-24,FALSE
GTseek_024_384i5_053_P098.002_772-23,772-23,TRUE,FALSE,6,2023,HS 071,266900x3593042,NA,NA,Hair Sample,CGA,119,GTS_772-23,FALSE
GTseek_024_384i5_054_P098.004_575-24,575-24,TRUE,FALSE,2,2024,HS 142,270560x3610662,NA,NA,Hair Sample,CGA,NA,GTS_575-24,TRUE
GTseek_024_384i5_055_P098.002_773-23,773-23,TRUE,FALSE,4,2023,HS 051,260705x3599596,NA,NA,Hair Sample,CGA,120,GTS_773-23,FALSE
